Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.01,0.61,0.4299884101280822
100% Corpus,8,0.01,0.91,0.4346209122438466
100% Corpus,8,0.31,symmetric,0.4400576575754287
100% Corpus,8,0.31,0.01,0.4351598016242648
100% Corpus,8,0.31,0.31,0.43143685646014596
100% Corpus,8,0.31,0.61,0.4356241134368821
100% Corpus,8,0.31,0.91,0.42947845346395186
100% Corpus,8,0.61,symmetric,0.42985358002837093
100% Corpus,8,0.61,0.01,0.4362573494867007
100% Corpus,8,0.61,0.31,0.43375890220049806
100% Corpus,8,0.61,0.61,0.43555919082415306
100% Corpus,8,0.61,0.91,0.4329759365153132
100% Corpus,8,0.91,symmetric,0.43144594636898703
100% Corpus,8,0.91,0.01,0.4385582310708686
100% Corpus,8,0.91,0.31,0.4383564394803702
100% Corpus,8,0.91,0.61,0.43509331911915333
100% Corpus,8,0.91,0.91,0.4346117633737456
100% Corpus,9,symmetric,symmetric,0.4338410643842791
100% Corpus,9,symmetric,0.01,0.43259069336130085
100% Corpus,9,symmetric,0.31,0.43338810150082135
100% Corpus,9,symmetric,0.61,0.4393404904761667
100% Corpus,9,symmetric,0.91,0.43392872040480457
100% Corpus,9,asymmetric,symmetric,0.4322734928530939
100% Corpus,9,asymmetric,0.01,0.44006846266833893
100% Corpus,9,asymmetric,0.31,0.4439945129220015
100% Corpus,9,asymmetric,0.61,0.4464648085397548
100% Corpus,9,asymmetric,0.91,0.4477118352478475
100% Corpus,9,0.01,symmetric,0.43868845127568823
100% Corpus,9,0.01,0.01,0.43695775934739745
100% Corpus,9,0.01,0.31,0.4349492225975511
100% Corpus,9,0.01,0.61,0.437561220707922
100% Corpus,9,0.01,0.91,0.44062639979414164
100% Corpus,9,0.31,symmetric,0.43973184536395227
100% Corpus,9,0.31,0.01,0.43394221669189875
100% Corpus,9,0.31,0.31,0.4407239358233039
100% Corpus,9,0.31,0.61,0.4354718545409749
100% Corpus,9,0.31,0.91,0.4406780412181806
100% Corpus,9,0.61,symmetric,0.4375773772375939
100% Corpus,9,0.61,0.01,0.43844299530743513
100% Corpus,9,0.61,0.31,0.4374730467435038
100% Corpus,9,0.61,0.61,0.4373091685431318
100% Corpus,9,0.61,0.91,0.435919025525239
100% Corpus,9,0.91,symmetric,0.4405355200257865
100% Corpus,9,0.91,0.01,0.42757993420832674
100% Corpus,9,0.91,0.31,0.4367464878763118
100% Corpus,9,0.91,0.61,0.44033657974485324
100% Corpus,9,0.91,0.91,0.44142946098472463
100% Corpus,10,symmetric,symmetric,0.4336570981877473
100% Corpus,10,symmetric,0.01,0.4329279677960757
